"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b[146] Sea Gate",-0.138972400981224,-0.138547,-0.140694809044851,995157.5,0.95,-0.519707,0.234255,NA,NA,NA,NA,NA,NA,NA
"b[147] Sheepshead Bay",-0.0690217281561814,-0.0690795,-0.0665016336873707,1000008,0.95,-0.236139,0.0988407,NA,NA,NA,NA,NA,NA,NA
"b[148] Shore Acres",-0.216055123208025,-0.217186,-0.224286203847266,983282.3,0.95,-0.568528,0.145884,NA,NA,NA,NA,NA,NA,NA
"b[149] SoHo",0.841852687437501,0.842049,0.844171615006468,1000008,0.95,0.71205,0.970752,NA,NA,NA,NA,NA,NA,NA
"b[150] Soundview",-0.401155265520425,-0.4060775,-0.412985265966232,995937.4,0.95,-0.77547,-0.0126915,NA,NA,NA,NA,NA,NA,NA
"b[151] South Beach",-0.181966265641334,-0.181896,-0.174242305706235,972329.6,0.95,-0.596091,0.230404,NA,NA,NA,NA,NA,NA,NA
"b[152] South Ozone Park",-0.218447631190006,-0.220051,-0.231413082530623,1000008,0.95,-0.547324,0.116497,NA,NA,NA,NA,NA,NA,NA
"b[153] South Slope",0.160770804224219,0.16094,0.161247264671491,911885,0.95,0.0798815,0.240089,NA,NA,NA,NA,NA,NA,NA
"b[154] Springfield Gardens",-0.190528711460095,-0.19074,-0.193400442133679,1004028.7,0.95,-0.403288,0.0253284,NA,NA,NA,NA,NA,NA,NA
"b[155] Spuyten Duyvil",-0.109755905031327,-0.108402,-0.0949425580824859,1000008,0.95,-0.470065,0.248153,NA,NA,NA,NA,NA,NA,NA
"b[156] St. Albans",-0.182179669029474,-0.182042,-0.172828060258306,996492.5,0.95,-0.421242,0.0567625,NA,NA,NA,NA,NA,NA,NA
"b[157] St. George",-0.0711335856629161,-0.0701597,-0.0713419789715187,989621.6,0.95,-0.339541,0.192628,NA,NA,NA,NA,NA,NA,NA
"b[158] Stapleton",-0.315365048818191,-0.3173955,-0.324454673624238,989730.2,0.95,-0.647105,0.0228273,NA,NA,NA,NA,NA,NA,NA
"b[159] Stuyvesant Town",0.0400645812199827,0.03456655,0.006201682628036,966973,0.95,-0.344184,0.431631,NA,NA,NA,NA,NA,NA,NA
"b[160] Sunnyside",-0.0135758287073673,-0.0133902,-0.0123444300090068,972903.4,0.95,-0.123435,0.0963736,NA,NA,NA,NA,NA,NA,NA
"b[161] Sunset Park",-0.12686537777195,-0.126734,-0.125818716222389,988819.7,0.95,-0.233374,-0.0225151,NA,NA,NA,NA,NA,NA,NA
"b[162] Theater District",0.875854216524268,0.87665,0.881038187918337,988533.4,0.95,0.737066,1.0115,NA,NA,NA,NA,NA,NA,NA
"b[163] Throgs Neck",-0.109998238156541,-0.108189,-0.108098763082587,1000726,0.95,-0.521128,0.300427,NA,NA,NA,NA,NA,NA,NA
"b[164] Tottenville",-0.149935852632989,-0.1491325,-0.147988034306647,961007,0.95,-0.568026,0.260536,NA,NA,NA,NA,NA,NA,NA
"b[165] Tremont",-0.0925742727039035,-0.09231305,-0.098480230806679,994481.5,0.95,-0.482951,0.293667,NA,NA,NA,NA,NA,NA,NA
"b[166] Tribeca",0.80621138000196,0.806556,0.808043911159607,997081.4,0.95,0.629066,0.984586,NA,NA,NA,NA,NA,NA,NA
"b[167] Two Bridges",0.337655015944002,0.336806,0.332719613261074,995157.3,0.95,0.0856071,0.599201,NA,NA,NA,NA,NA,NA,NA
"b[168] University Heights",-0.0620954118689036,-0.05919875,-0.0571768671451567,983896.6,0.95,-0.485562,0.355492,NA,NA,NA,NA,NA,NA,NA
"b[169] Upper East Side",0.403648409456724,0.4036175,0.403419450196508,712091.7,0.95,0.346725,0.459676,NA,NA,NA,NA,NA,NA,NA
"b[170] Upper West Side",0.481855907160743,0.481841,0.480289949015301,750064,0.95,0.424301,0.539041,NA,NA,NA,NA,NA,NA,NA
"b[171] Van Nest",-0.0629196383868592,-0.0655519,-0.0797328927619396,997154.8,0.95,-0.487725,0.369473,NA,NA,NA,NA,NA,NA,NA
"b[172] Vinegar Hill",0.358966434221525,0.36043,0.365702012652452,1000008,0.95,0.123004,0.594231,NA,NA,NA,NA,NA,NA,NA
"b[173] Wakefield",-0.251949267976863,-0.250644,-0.251425127457671,1000008,0.95,-0.578052,0.0727055,NA,NA,NA,NA,NA,NA,NA
"b[174] Washington Heights",-0.119360344753624,-0.119407,-0.118908655949482,926703,0.95,-0.199671,-0.0390131,NA,NA,NA,NA,NA,NA,NA
"b[175] West Brighton",-0.200909705785381,-0.2016915,-0.211691838209439,987084.5,0.95,-0.61722,0.209197,NA,NA,NA,NA,NA,NA,NA
"b[176] West Village",0.751387845552236,0.751321,0.750361867418393,798608.4,0.95,0.682961,0.821683,NA,NA,NA,NA,NA,NA,NA
"b[177] Westchester Square",-0.212347520382581,-0.2134955,-0.205263756975771,1000008,0.95,-0.62023,0.19695,NA,NA,NA,NA,NA,NA,NA
"b[178] Whitestone",0.0818267056462598,0.08427735,0.0761274280557624,1000008,0.95,-0.362503,0.52286,NA,NA,NA,NA,NA,NA,NA
"b[179] Williamsbridge",-0.165766680621897,-0.1649765,-0.169686506355176,999727.1,0.95,-0.504829,0.168958,NA,NA,NA,NA,NA,NA,NA
"b[180] Williamsburg",0.187643330936953,0.1876685,0.188397244949523,642733.5,0.95,0.139699,0.235333,NA,NA,NA,NA,NA,NA,NA
"b[181] Willowbrook",-0.203412619621897,-0.204058,-0.204886672937606,991446.5,0.95,-0.621041,0.206981,NA,NA,NA,NA,NA,NA,NA
"b[182] Windsor Terrace",0.0722897937349647,0.0722839,0.0715460685417801,985223.9,0.95,-0.0399467,0.184081,NA,NA,NA,NA,NA,NA,NA
"b[183] Woodhaven",-0.25468587777842,-0.255213,-0.256351812323137,1000008,0.95,-0.494877,-0.00945787,NA,NA,NA,NA,NA,NA,NA
"b[184] Woodside",-0.163851549169924,-0.163454,-0.159015080895564,996506.7,0.95,-0.331585,0.0034176,NA,NA,NA,NA,NA,NA,NA
"aMet",0.402767690898473,0.402758,0.402839818304057,983988.6,0.95,0.388648,0.416826,NA,NA,NA,NA,NA,NA,NA
"aSigma",0.242291957227342,0.241502,0.239608907413563,939576.4,0.95,0.207803,0.278209,NA,NA,NA,NA,NA,NA,NA
