"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[130] Murray Hill",0.356764547182623,0.355701,0.353824123733134,972786.7,0.95,0.30748,0.407952,NA,NA,NA,NA,NA,NA,NA
"ySigma[131] Navy Yard",0.400628820079439,0.398418,0.392455420474679,981009.3,0.95,0.290069,0.514289,NA,NA,NA,NA,NA,NA,NA
"ySigma[132] Neponsit",0.430435059378525,0.427574,0.423340055052836,989097.7,0.95,0.314332,0.549349,NA,NA,NA,NA,NA,NA,NA
"ySigma[133] New Brighton",0.427208278008776,0.424392,0.4181865842357,995496.9,0.95,0.315256,0.543403,NA,NA,NA,NA,NA,NA,NA
"ySigma[134] New Dorp Beach",0.40371070620935,0.401503,0.397866657306105,981643.1,0.95,0.290216,0.52099,NA,NA,NA,NA,NA,NA,NA
"ySigma[135] New Springville",0.417624982330141,0.415069,0.410516070398857,993028.3,0.95,0.303055,0.535676,NA,NA,NA,NA,NA,NA,NA
"ySigma[136] NoHo",0.408815536119711,0.406489,0.404739947108753,987777.5,0.95,0.319729,0.502629,NA,NA,NA,NA,NA,NA,NA
"ySigma[137] Nolita",0.465316405069759,0.46381,0.458054776485532,991321,0.95,0.399443,0.533151,NA,NA,NA,NA,NA,NA,NA
"ySigma[138] Norwood",0.421234955089359,0.418613,0.415621046381431,992921.3,0.95,0.316471,0.531992,NA,NA,NA,NA,NA,NA,NA
"ySigma[139] Oakwood",0.417144199732402,0.414558,0.409129162068788,991256.6,0.95,0.303188,0.532637,NA,NA,NA,NA,NA,NA,NA
"ySigma[140] Ozone Park",0.460990415082679,0.457895,0.454098490250891,975809.9,0.95,0.359692,0.568704,NA,NA,NA,NA,NA,NA,NA
"ySigma[141] Park Slope",0.414235419108647,0.413453,0.411836800590404,1000008,0.95,0.370009,0.46078,NA,NA,NA,NA,NA,NA,NA
"ySigma[142] Parkchester",0.463651076903385,0.460355,0.447464532262605,971059.1,0.95,0.358836,0.575278,NA,NA,NA,NA,NA,NA,NA
"ySigma[143] Pelham Bay",0.413070828660371,0.410501,0.407570181280216,991729.3,0.95,0.303493,0.525241,NA,NA,NA,NA,NA,NA,NA
"ySigma[144] Pelham Gardens",0.457529155147759,0.454662,0.449353668178814,972984.9,0.95,0.355315,0.563392,NA,NA,NA,NA,NA,NA,NA
"ySigma[145] Port Morris",0.428504416474668,0.425857,0.422657560347525,995093.4,0.95,0.33183,0.531928,NA,NA,NA,NA,NA,NA,NA
"ySigma[146] Port Richmond",0.416399712343301,0.413989,0.412159927850041,989375.8,0.95,0.303496,0.53585,NA,NA,NA,NA,NA,NA,NA
"ySigma[147] Prince's Bay",0.453850884064927,0.450536,0.446137274872954,980607.3,0.95,0.337266,0.575673,NA,NA,NA,NA,NA,NA,NA
"ySigma[148] Prospect-Lefferts Gardens",0.39037379253566,0.389575,0.389182365958701,996783.9,0.95,0.346521,0.436182,NA,NA,NA,NA,NA,NA,NA
"ySigma[149] Prospect Heights",0.397390106941144,0.396451,0.395043061093005,994226.2,0.95,0.349627,0.44676,NA,NA,NA,NA,NA,NA,NA
"ySigma[150] Queens Village",0.413923826652387,0.411687,0.407960828467641,992930.3,0.95,0.328582,0.502767,NA,NA,NA,NA,NA,NA,NA
"ySigma[151] Randall Manor",0.415960904785762,0.413414,0.410412065519183,993807.6,0.95,0.306071,0.529157,NA,NA,NA,NA,NA,NA,NA
"ySigma[152] Red Hook",0.426410526402789,0.424002,0.422876173148298,992967.6,0.95,0.335443,0.522104,NA,NA,NA,NA,NA,NA,NA
"ySigma[153] Rego Park",0.435697866904065,0.433236,0.432030484914412,991404.6,0.95,0.344892,0.5299,NA,NA,NA,NA,NA,NA,NA
"ySigma[154] Richmond Hill",0.371565309840521,0.369642,0.366641266444058,969217.5,0.95,0.291967,0.453109,NA,NA,NA,NA,NA,NA,NA
"ySigma[155] Richmondtown",0.419411996567027,0.416769,0.409799573521432,990079.9,0.95,0.305259,0.538301,NA,NA,NA,NA,NA,NA,NA
"ySigma[156] Ridgewood",0.387406927671579,0.386285,0.384299600987425,992642.2,0.95,0.33414,0.441758,NA,NA,NA,NA,NA,NA,NA
"ySigma[157] Riverdale",0.402687661909705,0.400479,0.39912348404951,985861.9,0.95,0.29173,0.5178,NA,NA,NA,NA,NA,NA,NA
"ySigma[158] Rockaway Beach",0.366362042416661,0.364401,0.363535991148602,936992.1,0.95,0.274614,0.461214,NA,NA,NA,NA,NA,NA,NA
"ySigma[159] Roosevelt Island",0.436854621874025,0.434416,0.428163413630361,989750.1,0.95,0.349451,0.53005,NA,NA,NA,NA,NA,NA,NA
"ySigma[160] Rosebank",0.40742098873409,0.405153,0.399607940445894,983430.4,0.95,0.295299,0.524909,NA,NA,NA,NA,NA,NA,NA
