"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ySigma[35] Civic Center",0.445418267990856,0.442606,0.43362764705464,990608.9,0.95,0.346405,0.548223,NA,NA,NA,NA,NA,NA,NA
"ySigma[36] Claremont Village",0.449797621787026,0.446866,0.441114186287854,988513.5,0.95,0.347642,0.556947,NA,NA,NA,NA,NA,NA,NA
"ySigma[37] Clason Point",0.425608760747914,0.423042,0.419850978419562,995142.8,0.95,0.327806,0.527648,NA,NA,NA,NA,NA,NA,NA
"ySigma[38] Clifton",0.406660727867177,0.404437,0.401214557302873,981324.5,0.95,0.296946,0.521785,NA,NA,NA,NA,NA,NA,NA
"ySigma[39] Clinton Hill",0.439773541424669,0.438979,0.438559487330413,987751.5,0.95,0.394725,0.486017,NA,NA,NA,NA,NA,NA,NA
"ySigma[40] Cobble Hill",0.428804441646467,0.426713,0.420392135725216,994897.5,0.95,0.350198,0.510449,NA,NA,NA,NA,NA,NA,NA
"ySigma[41] College Point",0.415295251881985,0.412726,0.407890265536556,990693.9,0.95,0.309405,0.52322,NA,NA,NA,NA,NA,NA,NA
"ySigma[42] Columbia St",0.404049028141775,0.401712,0.398775386770789,995572.3,0.95,0.309887,0.502923,NA,NA,NA,NA,NA,NA,NA
"ySigma[43] Concord",0.413381447202422,0.410939,0.403177860771445,991457.6,0.95,0.301517,0.527787,NA,NA,NA,NA,NA,NA,NA
"ySigma[44] Concourse",0.417373045850633,0.4150655,0.411815560360986,1000008,0.95,0.329,0.508364,NA,NA,NA,NA,NA,NA,NA
"ySigma[45] Concourse Village",0.433291438609491,0.43052,0.426547218425294,991892.4,0.95,0.32731,0.543885,NA,NA,NA,NA,NA,NA,NA
"ySigma[46] Coney Island",0.399495055696554,0.3974485,0.391720637572339,978161.2,0.95,0.287662,0.514815,NA,NA,NA,NA,NA,NA,NA
"ySigma[47] Corona",0.44088402253882,0.438183,0.433153261544435,987344.5,0.95,0.344477,0.540442,NA,NA,NA,NA,NA,NA,NA
"ySigma[48] Crown Heights",0.419501271095831,0.41918,0.418556185974479,994900.8,0.95,0.391017,0.448411,NA,NA,NA,NA,NA,NA,NA
"ySigma[49] Cypress Hills",0.380895712894297,0.3791475,0.378853710786302,984155.7,0.95,0.304477,0.460066,NA,NA,NA,NA,NA,NA,NA
"ySigma[50] Ditmars Steinway",0.393430396787826,0.392157,0.389953958966133,996055.2,0.95,0.336766,0.453391,NA,NA,NA,NA,NA,NA,NA
"ySigma[51] Douglaston",0.426507997578019,0.42378,0.418754764545143,995004.3,0.95,0.311899,0.544238,NA,NA,NA,NA,NA,NA,NA
"ySigma[52] Downtown Brooklyn",0.423096327635379,0.420727,0.417519898101928,992657.5,0.95,0.337054,0.514766,NA,NA,NA,NA,NA,NA,NA
"ySigma[53] DUMBO",0.399862969091247,0.39759,0.393811197406475,990366.4,0.95,0.302813,0.498862,NA,NA,NA,NA,NA,NA,NA
"ySigma[54] Dyker Heights",0.425045899486804,0.422389,0.416528445857482,996208.9,0.95,0.314909,0.539102,NA,NA,NA,NA,NA,NA,NA
